TimeStamp;P_HOME;temperature;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6
2025-05-27 08:00:00;-330.41433333333333;12.7;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 09:00:00;-502.0146666666667;13.4;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 10:00:00;-544.8384166666666;13.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 11:00:00;-515.88875;14.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 12:00:00;-441.93291666666664;15.3;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 13:00:00;-418.6308333333333;15.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 14:00:00;-386.0001666666667;16.2;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 15:00:00;-393.44800000000004;15.4;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 16:00:00;-1536.0081666666667;14.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 17:00:00;-1521.8218333333334;14.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 18:00:00;-1528.0;14.2;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 19:00:00;-1528.0;12.9;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 20:00:00;-1528.0;10.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 21:00:00;-715.4180833333334;10.4;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 22:00:00;-856.7608333333333;9.8;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-27 23:00:00;-348.7646666666667;9.6;True;False;False;False;False;False;True;False;False;False;False;False
2025-05-28 00:00:00;-2291.29325;9.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 01:00:00;-2993.0189166666664;8.6;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 02:00:00;-1134.4445833333332;9.2;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 03:00:00;-1218.5754166666668;8.8;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 04:00:00;-1236.2176666666667;8.8;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 05:00:00;-1200.7257499999998;9.2;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 06:00:00;-340.62975;10.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 07:00:00;-1517.9474166666666;10.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 08:00:00;-400.64491666666663;11.2;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 09:00:00;-2073.74225;10.7;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 10:00:00;-1644.4813333333332;10.2;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 11:00:00;-1569.3183333333334;10.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 12:00:00;-2502.536583333333;11.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 13:00:00;-402.28175000000005;11.9;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 14:00:00;-899.8300833333333;13.2;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 15:00:00;-521.5945833333334;14.2;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 16:00:00;-1348.0276666666666;11.6;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 17:00:00;-1847.9885000000002;11.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 18:00:00;-1960.0;11.0;False;True;False;False;False;False;False;True;False;False;False;False
