date;forecast;actual;weather_combo
2026-02-15 17:00:00;4890.042191841075;3789.986;['temperature', 'wind_speed', 'pressure']
2026-02-15 18:00:00;5399.73516889836;1972.2715;['temperature', 'wind_speed', 'pressure']
2026-02-15 19:00:00;3781.712234781864;1211.72575;['temperature', 'wind_speed', 'pressure']
2026-02-15 20:00:00;3779.6006843551218;2768.893;['temperature', 'wind_speed', 'pressure']
2026-02-15 21:00:00;4358.760881347433;4284.85;['temperature', 'wind_speed', 'pressure']
2026-02-15 22:00:00;4151.2575032437735;3674.49175;['temperature', 'wind_speed', 'pressure']
2026-02-15 23:00:00;4275.715833408183;3857.04075;['temperature', 'wind_speed', 'pressure']
2026-02-16 00:00:00;3393.5948596645458;4270.74175;['temperature', 'wind_speed', 'pressure']
2026-02-16 01:00:00;3497.0560731597834;4172.0475;['temperature', 'wind_speed', 'pressure']
2026-02-16 02:00:00;3757.583439773407;4192.84925;['temperature', 'wind_speed', 'pressure']
2026-02-16 03:00:00;3307.4948182081794;4297.218;['temperature', 'wind_speed', 'pressure']
2026-02-16 04:00:00;3623.8642880353054;3792.167;['temperature', 'wind_speed', 'pressure']
2026-02-16 05:00:00;3371.124928336413;3905.2105;['temperature', 'wind_speed', 'pressure']
2026-02-16 06:00:00;3543.603487008195;4322.625;['temperature', 'wind_speed', 'pressure']
2026-02-16 07:00:00;3670.025682020708;5897.072;['temperature', 'wind_speed', 'pressure']
2026-02-16 08:00:00;3850.043990341733;2816.22675;['temperature', 'wind_speed', 'pressure']
2026-02-16 09:00:00;3818.1209627172752;3726.25825;['temperature', 'wind_speed', 'pressure']
2026-02-16 10:00:00;3993.224125116958;3709.35825;['temperature', 'wind_speed', 'pressure']
2026-02-16 11:00:00;3698.0527929863706;4097.0225;['temperature', 'wind_speed', 'pressure']
2026-02-16 12:00:00;3843.3446431301136;4383.431500000001;['temperature', 'wind_speed', 'pressure']
2026-02-16 13:00:00;3814.346460558696;3789.0565;['temperature', 'wind_speed', 'pressure']
2026-02-16 14:00:00;3759.0986205555423;4607.666;['temperature', 'wind_speed', 'pressure']
2026-02-16 15:00:00;3864.515154043374;4367.22325;['temperature', 'wind_speed', 'pressure']
2026-02-16 16:00:00;4654.9323646647445;3437.96925;['temperature', 'wind_speed', 'pressure']
2026-02-16 17:00:00;4846.594251850054;5117.6485;['temperature', 'wind_speed', 'pressure']
2026-02-16 18:00:00;4847.333764110093;5031.2195;['temperature', 'wind_speed', 'pressure']
2026-02-16 19:00:00;2765.5794152150334;5013.32925;['temperature', 'wind_speed', 'pressure']
2026-02-16 20:00:00;3778.114310857429;3950.84225;['temperature', 'wind_speed', 'pressure']
2026-02-16 21:00:00;4472.502926591495;3260.27925;['temperature', 'wind_speed', 'pressure']
2026-02-16 22:00:00;4007.766789876322;3727.6415;['temperature', 'wind_speed', 'pressure']
2026-02-16 23:00:00;4065.9423385456785;2914.66625;['temperature', 'wind_speed', 'pressure']
2026-02-17 00:00:00;3810.7716022148534;3134.171;['temperature', 'wind_speed', 'pressure']
2026-02-17 01:00:00;3995.4675454713188;2905.419;['temperature', 'wind_speed', 'pressure']
2026-02-17 02:00:00;4074.4020123784485;3407.01775;['temperature', 'wind_speed', 'pressure']
2026-02-17 03:00:00;4098.533110800357;2895.731;['temperature', 'wind_speed', 'pressure']
2026-02-17 04:00:00;3999.41797644334;3551.5375;['temperature', 'wind_speed', 'pressure']
2026-02-17 05:00:00;3834.916904666663;3038.49075;['temperature', 'wind_speed', 'pressure']
2026-02-17 06:00:00;4361.38624315205;2865.9880000000003;['temperature', 'wind_speed', 'pressure']
2026-02-17 07:00:00;4906.488649591813;4217.9155;['temperature', 'wind_speed', 'pressure']
2026-02-17 08:00:00;3584.891668726421;4631.85375;['temperature', 'wind_speed', 'pressure']
2026-02-17 09:00:00;4139.120427389547;5666.0205000000005;['temperature', 'wind_speed', 'pressure']
2026-02-17 10:00:00;4739.225560246747;3033.71925;['temperature', 'wind_speed', 'pressure']
2026-02-17 11:00:00;4369.65688707543;3668.54275;['temperature', 'wind_speed', 'pressure']
2026-02-17 12:00:00;4218.834423939134;3205.1977500000003;['temperature', 'wind_speed', 'pressure']
2026-02-17 13:00:00;3782.7954841249298;3569.85825;['temperature', 'wind_speed', 'pressure']
2026-02-17 14:00:00;3998.2634986532075;4546.28325;['temperature', 'wind_speed', 'pressure']
2026-02-17 15:00:00;4029.167813374641;3355.98275;['temperature', 'wind_speed', 'pressure']
2026-02-17 16:00:00;4510.918714833067;3155.60275;['temperature', 'wind_speed', 'pressure']
2026-02-17 17:00:00;4486.175652190416;3948.281;['temperature', 'wind_speed', 'pressure']
2026-02-17 18:00:00;3571.538632306625;6586.86025;['temperature', 'wind_speed', 'pressure']
2026-02-17 19:00:00;3218.273106319838;2688.89675;['temperature', 'wind_speed', 'pressure']
2026-02-17 20:00:00;4095.2973815700625;4654.51275;['temperature', 'wind_speed', 'pressure']
2026-02-17 21:00:00;4109.753722716311;3142.6025;['temperature', 'wind_speed', 'pressure']
2026-02-17 22:00:00;4023.7791583032877;2652.804;['temperature', 'wind_speed', 'pressure']
2026-02-17 23:00:00;3676.014043713537;2618.7905;['temperature', 'wind_speed', 'pressure']
2026-02-18 00:00:00;3317.4204169479253;3148.755;['temperature', 'wind_speed', 'pressure']
2026-02-18 01:00:00;3321.0290458775053;3693.88525;['temperature', 'wind_speed', 'pressure']
2026-02-18 02:00:00;3654.2690384105604;2656.90925;['temperature', 'wind_speed', 'pressure']
2026-02-18 03:00:00;3422.9580638983816;2022.2365;['temperature', 'wind_speed', 'pressure']
2026-02-18 04:00:00;3419.2082611772576;2714.6582499999995;['temperature', 'wind_speed', 'pressure']
2026-02-18 05:00:00;3272.1488613600886;3138.4825;['temperature', 'wind_speed', 'pressure']
2026-02-18 06:00:00;3576.725552129135;3251.8665;['temperature', 'wind_speed', 'pressure']
2026-02-18 07:00:00;4347.494862644835;3767.39;['temperature', 'wind_speed', 'pressure']
2026-02-18 08:00:00;3362.0020499289235;3704.433;['temperature', 'wind_speed', 'pressure']
2026-02-18 09:00:00;3613.6784531497533;4502.9775;['temperature', 'wind_speed', 'pressure']
2026-02-18 10:00:00;3045.1729041618282;2839.84175;['temperature', 'wind_speed', 'pressure']
2026-02-18 11:00:00;3519.1082914265658;3027.432;['temperature', 'wind_speed', 'pressure']
2026-02-18 12:00:00;3790.216849372708;3523.302;['temperature', 'wind_speed', 'pressure']
2026-02-18 13:00:00;3463.451186621677;3065.7345000000005;['temperature', 'wind_speed', 'pressure']
2026-02-18 14:00:00;3899.327117141547;3746.467;['temperature', 'wind_speed', 'pressure']
2026-02-18 15:00:00;3761.024510019519;3357.258;['temperature', 'wind_speed', 'pressure']
2026-02-18 16:00:00;2839.880556801139;3739.85675;['temperature', 'wind_speed', 'pressure']
2026-02-18 17:00:00;4242.434646223676;5383.882;['temperature', 'wind_speed', 'pressure']
2026-02-18 18:00:00;4671.288973069977;5460.044;['temperature', 'wind_speed', 'pressure']
2026-02-18 19:00:00;3508.9370255413023;3423.06;['temperature', 'wind_speed', 'pressure']
